district_number,district_name,crime_category_primary,crime_category_secondary,offense_count,incident_count,total_victims
4D,WHEATON,Crime Against Society,Drug/Narcotic Violations,6152,5719,6159.0
4D,WHEATON,Crime Against Society,"Family Offenses, NonViolent",233,232,239.0
4D,WHEATON,Crime Against Society,Liquor Law Violations,2443,2435,2446.0
4D,WHEATON,Crime Against Society,Pornography/Obscene Material,99,95,100.0
4D,WHEATON,Crime Against Society,Prostitution,13,13,13.0
4D,WHEATON,Crime Against Society,Trespass of Real Property,1191,1191,1201.0
4D,WHEATON,Crime Against Society,Weapon Law Violations,940,927,946.0
5D,GERMANTOWN,Crime Against Not a Crime,Justifiable Homicide,2,2,2.0
5D,GERMANTOWN,Crime Against Not a Crime,Runaway,920,920,920.0
5D,GERMANTOWN,Crime Against Person,Aggravated Assault,1184,1173,1457.0
5D,GERMANTOWN,Crime Against Person,Forcible Fondling,399,398,430.0
5D,GERMANTOWN,Crime Against Person,Forcible Rape,558,464,566.0
5D,GERMANTOWN,Crime Against Person,"Human Trafficking, Commercial Sex Acts",2,2,2.0
5D,GERMANTOWN,Crime Against Person,Incest,4,4,4.0
5D,GERMANTOWN,Crime Against Person,Intimidation,86,86,98.0
5D,GERMANTOWN,Crime Against Person,Kidnapping/Abduction,10,10,12.0
5D,GERMANTOWN,Crime Against Person,Murder and Nonnegligent Manslaughter,30,30,33.0
5D,GERMANTOWN,Crime Against Person,Negligent Manslaughter,1,1,1.0
5D,GERMANTOWN,Crime Against Person,Simple Assault,5878,5840,7370.0
5D,GERMANTOWN,Crime Against Person,Statuory Rape,18,18,18.0
5D,GERMANTOWN,Crime Against Property,All other Larceny,2979,2977,2991.0
5D,GERMANTOWN,Crime Against Property,Arson,83,76,83.0
5D,GERMANTOWN,Crime Against Property,Burglary/Breaking and Entering,1500,1497,1502.0
5D,GERMANTOWN,Crime Against Property,Counterfeiting/Forgery,372,370,372.0
5D,GERMANTOWN,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,1077,1077,1077.0
5D,GERMANTOWN,Crime Against Property,Destruction/Damage/Vandalism of Property,3959,3950,3988.0
5D,GERMANTOWN,Crime Against Property,Embezzlement,87,87,87.0
5D,GERMANTOWN,Crime Against Property,Extortion/Blackmail,125,125,125.0
5D,GERMANTOWN,Crime Against Property,False Pretenses/Swindle/Confidence Game,1456,1456,1458.0
5D,GERMANTOWN,Crime Against Property,From Coin/Operated Machine or Device,11,11,11.0
5D,GERMANTOWN,Crime Against Property,Hacking/Computer Invasion,17,17,17.0
5D,GERMANTOWN,Crime Against Property,Identity Theft,1838,1838,1838.0
5D,GERMANTOWN,Crime Against Property,Impersonation,163,163,163.0
5D,GERMANTOWN,Crime Against Property,Motor Vehicle Theft,1587,1584,1588.0
5D,GERMANTOWN,Crime Against Property,Pocket/picking,79,79,79.0
5D,GERMANTOWN,Crime Against Property,Purse-snatching,65,65,65.0
5D,GERMANTOWN,Crime Against Property,Robbery,556,553,558.0
5D,GERMANTOWN,Crime Against Property,Shoplifting,6578,6578,6592.0
5D,GERMANTOWN,Crime Against Property,Stolen Property Offenses,35,35,35.0
5D,GERMANTOWN,Crime Against Property,Theft from Building,1746,1746,1746.0
5D,GERMANTOWN,Crime Against Property,Theft From Motor Vehicle,4367,4367,4368.0
5D,GERMANTOWN,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,1062,1062,1062.0
5D,GERMANTOWN,Crime Against Property,Welfare Fraud,6,6,6.0
5D,GERMANTOWN,Crime Against Property,Wire Fraud,71,71,71.0
5D,GERMANTOWN,Crime Against Society,All Other Offenses,14343,14251,14400.0
5D,GERMANTOWN,Crime Against Society,Animal Cruelty,32,32,32.0
5D,GERMANTOWN,Crime Against Society,Assisting or Promoting Prostitution,9,9,9.0
5D,GERMANTOWN,Crime Against Society,Disorderly Conduct,628,623,646.0
5D,GERMANTOWN,Crime Against Society,Driving Under the Influence,2337,2330,2344.0
5D,GERMANTOWN,Crime Against Society,Drug Equipment Violations,422,422,422.0
5D,GERMANTOWN,Crime Against Society,Drug/Narcotic Violations,3352,3040,3358.0
5D,GERMANTOWN,Crime Against Society,"Family Offenses, NonViolent",248,245,254.0
5D,GERMANTOWN,Crime Against Society,Liquor Law Violations,452,448,453.0
5D,GERMANTOWN,Crime Against Society,Operating/Promoting/Assisting Gambling,1,1,1.0
5D,GERMANTOWN,Crime Against Society,Pornography/Obscene Material,49,49,49.0
5D,GERMANTOWN,Crime Against Society,Prostitution,9,9,9.0
5D,GERMANTOWN,Crime Against Society,Trespass of Real Property,657,657,663.0
5D,GERMANTOWN,Crime Against Society,Weapon Law Violations,666,653,671.0
6D,MONTGOMERY VILLAGE,Crime Against Not a Crime,Justifiable Homicide,3,3,3.0
6D,MONTGOMERY VILLAGE,Crime Against Not a Crime,Runaway,1362,1362,1364.0
6D,MONTGOMERY VILLAGE,Crime Against Person,Aggravated Assault,1696,1679,2008.0
6D,MONTGOMERY VILLAGE,Crime Against Person,Forcible Fondling,624,618,667.0
6D,MONTGOMERY VILLAGE,Crime Against Person,Forcible Rape,923,776,954.0
6D,MONTGOMERY VILLAGE,Crime Against Person,"Human Trafficking, Commercial Sex Acts",35,35,35.0
6D,MONTGOMERY VILLAGE,Crime Against Person,Intimidation,137,137,147.0
6D,MONTGOMERY VILLAGE,Crime Against Person,Kidnapping/Abduction,31,31,32.0
6D,MONTGOMERY VILLAGE,Crime Against Person,Murder and Nonnegligent Manslaughter,32,32,33.0
6D,MONTGOMERY VILLAGE,Crime Against Person,Negligent Manslaughter,1,1,1.0
6D,MONTGOMERY VILLAGE,Crime Against Person,Simple Assault,7203,7166,8810.0
6D,MONTGOMERY VILLAGE,Crime Against Person,Statuory Rape,41,41,42.0
6D,MONTGOMERY VILLAGE,Crime Against Property,All other Larceny,3133,3132,3148.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Arson,93,84,93.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Bribery,1,1,1.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Burglary/Breaking and Entering,2106,2098,2120.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Counterfeiting/Forgery,587,586,587.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,1285,1285,1285.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Destruction/Damage/Vandalism of Property,5428,5412,5484.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Embezzlement,135,134,135.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Extortion/Blackmail,107,107,107.0
6D,MONTGOMERY VILLAGE,Crime Against Property,False Pretenses/Swindle/Confidence Game,1651,1649,1653.0
6D,MONTGOMERY VILLAGE,Crime Against Property,From Coin/Operated Machine or Device,13,13,13.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Hacking/Computer Invasion,22,22,22.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Identity Theft,1859,1859,1859.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Impersonation,188,188,188.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Motor Vehicle Theft,2799,2796,2800.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Pocket/picking,107,107,107.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Purse-snatching,111,111,111.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Robbery,993,984,998.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Shoplifting,4518,4518,4529.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Stolen Property Offenses,43,43,43.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Theft from Building,2964,2963,2968.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Theft From Motor Vehicle,5804,5804,5804.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,1992,1992,1992.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Welfare Fraud,9,9,9.0
6D,MONTGOMERY VILLAGE,Crime Against Property,Wire Fraud,76,76,76.0
6D,MONTGOMERY VILLAGE,Crime Against Society,All Other Offenses,19926,19765,20020.0
6D,MONTGOMERY VILLAGE,Crime Against Society,Animal Cruelty,31,31,31.0
6D,MONTGOMERY VILLAGE,Crime Against Society,Assisting or Promoting Prostitution,46,46,46.0
6D,MONTGOMERY VILLAGE,Crime Against Society,Curfew/Loitering/Vagrancy Violations,7,7,7.0
6D,MONTGOMERY VILLAGE,Crime Against Society,Disorderly Conduct,1072,1056,1110.0
6D,MONTGOMERY VILLAGE,Crime Against Society,Driving Under the Influence,5340,5322,5348.0
6D,MONTGOMERY VILLAGE,Crime Against Society,Drug Equipment Violations,743,743,744.0
6D,MONTGOMERY VILLAGE,Crime Against Society,Drug/Narcotic Violations,5012,4485,5020.0
6D,MONTGOMERY VILLAGE,Crime Against Society,"Family Offenses, NonViolent",243,242,244.0
6D,MONTGOMERY VILLAGE,Crime Against Society,Liquor Law Violations,706,696,707.0
6D,MONTGOMERY VILLAGE,Crime Against Society,Pornography/Obscene Material,60,59,60.0
6D,MONTGOMERY VILLAGE,Crime Against Society,Prostitution,92,92,92.0
6D,MONTGOMERY VILLAGE,Crime Against Society,Trespass of Real Property,812,812,823.0
6D,MONTGOMERY VILLAGE,Crime Against Society,Weapon Law Violations,776,766,785.0
TPPD,TAKOMA PARK,Crime Against Not a Crime,Runaway,73,73,73.0
TPPD,TAKOMA PARK,Crime Against Person,Aggravated Assault,212,210,241.0
TPPD,TAKOMA PARK,Crime Against Person,Forcible Fondling,63,63,68.0
TPPD,TAKOMA PARK,Crime Against Person,Forcible Rape,48,45,51.0
TPPD,TAKOMA PARK,Crime Against Person,"Human Trafficking, Commercial Sex Acts",3,3,3.0
TPPD,TAKOMA PARK,Crime Against Person,Incest,4,4,4.0
TPPD,TAKOMA PARK,Crime Against Person,Intimidation,22,22,22.0
TPPD,TAKOMA PARK,Crime Against Person,Kidnapping/Abduction,5,5,6.0
TPPD,TAKOMA PARK,Crime Against Person,Murder and Nonnegligent Manslaughter,3,3,3.0
TPPD,TAKOMA PARK,Crime Against Person,Simple Assault,684,677,755.0
TPPD,TAKOMA PARK,Crime Against Person,Statuory Rape,12,12,12.0
TPPD,TAKOMA PARK,Crime Against Property,All other Larceny,776,776,777.0
TPPD,TAKOMA PARK,Crime Against Property,Arson,13,10,13.0
TPPD,TAKOMA PARK,Crime Against Property,Burglary/Breaking and Entering,622,622,622.0
TPPD,TAKOMA PARK,Crime Against Property,Counterfeiting/Forgery,76,75,76.0
TPPD,TAKOMA PARK,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,65,65,65.0
TPPD,TAKOMA PARK,Crime Against Property,Destruction/Damage/Vandalism of Property,1490,1483,1495.0
TPPD,TAKOMA PARK,Crime Against Property,Embezzlement,46,46,46.0
TPPD,TAKOMA PARK,Crime Against Property,Extortion/Blackmail,11,11,11.0
TPPD,TAKOMA PARK,Crime Against Property,False Pretenses/Swindle/Confidence Game,139,139,139.0
TPPD,TAKOMA PARK,Crime Against Property,From Coin/Operated Machine or Device,9,9,9.0
TPPD,TAKOMA PARK,Crime Against Property,Hacking/Computer Invasion,2,2,2.0
TPPD,TAKOMA PARK,Crime Against Property,Identity Theft,214,214,214.0
TPPD,TAKOMA PARK,Crime Against Property,Impersonation,24,24,24.0
TPPD,TAKOMA PARK,Crime Against Property,Motor Vehicle Theft,530,530,532.0
TPPD,TAKOMA PARK,Crime Against Property,Pocket/picking,14,14,14.0
TPPD,TAKOMA PARK,Crime Against Property,Purse-snatching,41,41,43.0
TPPD,TAKOMA PARK,Crime Against Property,Robbery,298,293,300.0
TPPD,TAKOMA PARK,Crime Against Property,Shoplifting,1655,1655,1655.0
TPPD,TAKOMA PARK,Crime Against Property,Stolen Property Offenses,32,31,32.0
TPPD,TAKOMA PARK,Crime Against Property,Theft from Building,349,349,349.0
TPPD,TAKOMA PARK,Crime Against Property,Theft From Motor Vehicle,1655,1655,1655.0
TPPD,TAKOMA PARK,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,343,343,343.0
TPPD,TAKOMA PARK,Crime Against Property,Welfare Fraud,13,13,13.0
TPPD,TAKOMA PARK,Crime Against Property,Wire Fraud,15,15,15.0
TPPD,TAKOMA PARK,Crime Against Society,All Other Offenses,3206,3173,3210.0
TPPD,TAKOMA PARK,Crime Against Society,Animal Cruelty,2,2,2.0
TPPD,TAKOMA PARK,Crime Against Society,Assisting or Promoting Prostitution,10,10,10.0
TPPD,TAKOMA PARK,Crime Against Society,Curfew/Loitering/Vagrancy Violations,6,6,6.0
TPPD,TAKOMA PARK,Crime Against Society,Disorderly Conduct,234,228,237.0
TPPD,TAKOMA PARK,Crime Against Society,Driving Under the Influence,161,161,162.0
TPPD,TAKOMA PARK,Crime Against Society,Drug Equipment Violations,79,79,79.0
TPPD,TAKOMA PARK,Crime Against Society,Drug/Narcotic Violations,466,441,466.0
TPPD,TAKOMA PARK,Crime Against Society,"Family Offenses, NonViolent",52,52,52.0
TPPD,TAKOMA PARK,Crime Against Society,Liquor Law Violations,76,76,77.0
TPPD,TAKOMA PARK,Crime Against Society,Pornography/Obscene Material,5,5,5.0
TPPD,TAKOMA PARK,Crime Against Society,Prostitution,7,7,7.0
TPPD,TAKOMA PARK,Crime Against Society,Trespass of Real Property,168,168,168.0
TPPD,TAKOMA PARK,Crime Against Society,Weapon Law Violations,88,86,88.0
Unkn,<NA>,Crime Against Not a Crime,Runaway,11,11,11.0
Unkn,<NA>,Crime Against Person,Aggravated Assault,29,29,29.0
Unkn,<NA>,Crime Against Person,Forcible Fondling,9,9,10.0
Unkn,<NA>,Crime Against Person,Forcible Rape,5,5,5.0
Unkn,<NA>,Crime Against Person,Intimidation,6,6,6.0
Unkn,<NA>,Crime Against Person,Simple Assault,130,130,153.0
Unkn,<NA>,Crime Against Person,Statuory Rape,2,2,2.0
Unkn,<NA>,Crime Against Property,All other Larceny,60,60,60.0
Unkn,<NA>,Crime Against Property,Arson,1,1,1.0
Unkn,<NA>,Crime Against Property,Burglary/Breaking and Entering,47,47,47.0
Unkn,<NA>,Crime Against Property,Counterfeiting/Forgery,12,12,12.0
Unkn,<NA>,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,21,21,21.0
Unkn,<NA>,Crime Against Property,Destruction/Damage/Vandalism of Property,93,91,94.0
Unkn,<NA>,Crime Against Property,Embezzlement,6,6,6.0
Unkn,<NA>,Crime Against Property,Extortion/Blackmail,3,3,3.0
Unkn,<NA>,Crime Against Property,False Pretenses/Swindle/Confidence Game,27,27,27.0
Unkn,<NA>,Crime Against Property,From Coin/Operated Machine or Device,1,1,1.0
Unkn,<NA>,Crime Against Property,Identity Theft,30,30,30.0
Unkn,<NA>,Crime Against Property,Impersonation,3,3,3.0
Unkn,<NA>,Crime Against Property,Motor Vehicle Theft,74,74,74.0
Unkn,<NA>,Crime Against Property,Pocket/picking,3,3,3.0
Unkn,<NA>,Crime Against Property,Purse-snatching,1,1,1.0
Unkn,<NA>,Crime Against Property,Robbery,14,14,14.0
Unkn,<NA>,Crime Against Property,Shoplifting,138,138,138.0
Unkn,<NA>,Crime Against Property,Stolen Property Offenses,1,1,1.0
Unkn,<NA>,Crime Against Property,Theft from Building,36,36,36.0
Unkn,<NA>,Crime Against Property,Theft From Motor Vehicle,104,104,104.0
Unkn,<NA>,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,47,47,47.0
Unkn,<NA>,Crime Against Society,All Other Offenses,346,344,347.0
Unkn,<NA>,Crime Against Society,Animal Cruelty,1,1,1.0
Unkn,<NA>,Crime Against Society,Disorderly Conduct,16,15,17.0
Unkn,<NA>,Crime Against Society,Driving Under the Influence,52,52,52.0
Unkn,<NA>,Crime Against Society,Drug Equipment Violations,4,4,4.0
Unkn,<NA>,Crime Against Society,Drug/Narcotic Violations,25,25,25.0
Unkn,<NA>,Crime Against Society,"Family Offenses, NonViolent",2,2,2.0
Unkn,<NA>,Crime Against Society,Liquor Law Violations,11,11,11.0
Unkn,<NA>,Crime Against Society,Trespass of Real Property,21,21,21.0
Unkn,<NA>,Crime Against Society,Weapon Law Violations,9,9,9.0
