district_number,district_name,place,total_incidents,total_victims
4D,WHEATON,Street - Commercial,1621,1658.0
4D,WHEATON,Street - In vehicle,7976,8020.0
4D,WHEATON,Street - Other,1529,1572.0
4D,WHEATON,Street - Residential,6825,6952.0
4D,WHEATON,Theater,23,26.0
4D,WHEATON,Wooded Area,112,113.0
5D,GERMANTOWN,Abandoned/Condemned Structures,3,3.0
5D,GERMANTOWN,Air/Bus/Train/Metro Terminal,89,91.0
5D,GERMANTOWN,Arena/Stadium/Fairgrounds/Coliseum,1,1.0
5D,GERMANTOWN,Atm Separate From Bank,3,3.0
5D,GERMANTOWN,Auto Dealership,104,104.0
5D,GERMANTOWN,Auto Repair,60,60.0
5D,GERMANTOWN,Bank - ATM,208,208.0
5D,GERMANTOWN,Bank/S&L/Credit Union,190,190.0
5D,GERMANTOWN,Bar/Night Club,39,39.0
5D,GERMANTOWN,Camp / Campground,1,1.0
5D,GERMANTOWN,Check Cashing Est.,6,6.0
5D,GERMANTOWN,Church/Synagogue/Temple,61,63.0
5D,GERMANTOWN,Commercial - Industrial park,36,36.0
5D,GERMANTOWN,Commercial - Office Building,280,282.0
5D,GERMANTOWN,Community Center,16,16.0
5D,GERMANTOWN,Construction Site,198,199.0
5D,GERMANTOWN,Convenience Store,610,623.0
5D,GERMANTOWN,Cyberspace,287,288.0
5D,GERMANTOWN,Daycare Facility,23,24.0
5D,GERMANTOWN,Doctor/Dentist/Vet Office,81,83.0
5D,GERMANTOWN,Farm Facility,12,12.0
5D,GERMANTOWN,Field/ Open Space,79,83.0
5D,GERMANTOWN,Gambling Facility / Casino / Race Track,1,1.0
5D,GERMANTOWN,Gas Station,320,325.0
5D,GERMANTOWN,Golf Course,24,25.0
5D,GERMANTOWN,Government Building,329,331.0
5D,GERMANTOWN,Grocery/Supermarket,1596,1611.0
5D,GERMANTOWN,Hospital/Emergency Care Center,304,337.0
5D,GERMANTOWN,Hotel/Motel/Etc.,262,266.0
5D,GERMANTOWN,Industrial Site,3,3.0
5D,GERMANTOWN,Jail/Prison,112,115.0
5D,GERMANTOWN,Lake/Waterway,14,14.0
5D,GERMANTOWN,Laundromat,5,5.0
5D,GERMANTOWN,Library,75,75.0
5D,GERMANTOWN,Liquor Store - Beer & Wine,108,112.0
5D,GERMANTOWN,Liquor Store - County,77,77.0
5D,GERMANTOWN,Nursery,8,8.0
5D,GERMANTOWN,Other/Unknown,4445,4452.0
5D,GERMANTOWN,Park,216,239.0
5D,GERMANTOWN,Parking Garage - Commercial,87,89.0
5D,GERMANTOWN,Parking Garage - County,2,2.0
5D,GERMANTOWN,Parking Garage - Metro,3,3.0
5D,GERMANTOWN,Parking Garage - Other,13,13.0
5D,GERMANTOWN,Parking Garage - Residential,107,108.0
5D,GERMANTOWN,Parking Lot - Church,24,24.0
5D,GERMANTOWN,Parking Lot - Commercial,1467,1520.0
5D,GERMANTOWN,Parking Lot - County,96,101.0
5D,GERMANTOWN,Parking Lot - Metro,17,17.0
5D,GERMANTOWN,Parking Lot - Other,331,344.0
5D,GERMANTOWN,Parking Lot - Park & Ride,39,39.0
5D,GERMANTOWN,Parking Lot - Rec Center,32,32.0
5D,GERMANTOWN,Parking Lot - Residential,4146,4218.0
5D,GERMANTOWN,Parking Lot - School,145,156.0
5D,GERMANTOWN,Pawn Shop,5,5.0
5D,GERMANTOWN,Pool,53,63.0
5D,GERMANTOWN,Recreation Center,92,92.0
5D,GERMANTOWN,Rental Storage Facility,55,56.0
5D,GERMANTOWN,Residence - Apartment/Condo,5484,5936.0
5D,GERMANTOWN,Residence - Apt Ofc/Storage,100,102.0
5D,GERMANTOWN,Residence - Carport,14,14.0
5D,GERMANTOWN,Residence - Driveway,1554,1565.0
5D,GERMANTOWN,Residence - Garage,151,152.0
5D,GERMANTOWN,Residence - Mobile Home,109,118.0
5D,GERMANTOWN,Residence - Nursing Home,87,88.0
5D,GERMANTOWN,Residence - Other,777,780.0
5D,GERMANTOWN,Residence - Shed,55,55.0
5D,GERMANTOWN,Residence - Single Family,5306,5479.0
5D,GERMANTOWN,Residence - Yard,662,704.0
5D,GERMANTOWN,Residence -Townhouse/Duplex,6424,6876.0
5D,GERMANTOWN,Restaurant,784,810.0
5D,GERMANTOWN,Retail - Appliances/Electronics,140,142.0
5D,GERMANTOWN,Retail - Beauty/Barber Shop,50,50.0
5D,GERMANTOWN,Retail - Clothing,591,591.0
5D,GERMANTOWN,Retail - Department/Discount Store,4123,4137.0
5D,GERMANTOWN,Retail - Drug Store/Pharmacy,322,322.0
5D,GERMANTOWN,Retail - Dry Cleaner,12,12.0
5D,GERMANTOWN,Retail - Hardware,231,232.0
5D,GERMANTOWN,Retail - Jewelry,15,15.0
5D,GERMANTOWN,Retail - Mall,339,346.0
5D,GERMANTOWN,Retail - Other,885,887.0
5D,GERMANTOWN,Retail - Salon/Spa,36,36.0
5D,GERMANTOWN,Retail - Sporting Goods,16,16.0
5D,GERMANTOWN,Retail - Video Store,5,5.0
5D,GERMANTOWN,School - College/University,31,31.0
5D,GERMANTOWN,School - Elementary/Secondary,1517,1586.0
5D,GERMANTOWN,School/College - DO NOT USE,1065,1103.0
5D,GERMANTOWN,Shelter-Mission/Homeless,4,4.0
5D,GERMANTOWN,Street - Alley,48,51.0
5D,GERMANTOWN,Street - Bus Stop,325,342.0
5D,GERMANTOWN,Street - Commercial,533,543.0
5D,GERMANTOWN,Street - In vehicle,4468,4518.0
5D,GERMANTOWN,Street - Other,1083,1124.0
5D,GERMANTOWN,Street - Residential,3082,3157.0
5D,GERMANTOWN,Theater,18,19.0
5D,GERMANTOWN,Wooded Area,101,101.0
6D,MONTGOMERY VILLAGE,Abandoned/Condemned Structures,7,7.0
6D,MONTGOMERY VILLAGE,Air/Bus/Train/Metro Terminal,131,140.0
6D,MONTGOMERY VILLAGE,Amusement Park,4,7.0
6D,MONTGOMERY VILLAGE,Arena/Stadium/Fairgrounds/Coliseum,30,34.0
6D,MONTGOMERY VILLAGE,Atm Separate From Bank,5,5.0
6D,MONTGOMERY VILLAGE,Auto Dealership,287,288.0
6D,MONTGOMERY VILLAGE,Auto Repair,149,150.0
6D,MONTGOMERY VILLAGE,Bank - ATM,250,251.0
6D,MONTGOMERY VILLAGE,Bank/S&L/Credit Union,209,209.0
6D,MONTGOMERY VILLAGE,Bar/Night Club,262,297.0
6D,MONTGOMERY VILLAGE,Check Cashing Est.,24,24.0
6D,MONTGOMERY VILLAGE,Church/Synagogue/Temple,142,146.0
6D,MONTGOMERY VILLAGE,Commercial - Industrial park,262,264.0
6D,MONTGOMERY VILLAGE,Commercial - Office Building,826,833.0
6D,MONTGOMERY VILLAGE,Community Center,36,36.0
6D,MONTGOMERY VILLAGE,Construction Site,136,136.0
6D,MONTGOMERY VILLAGE,Convenience Store,531,539.0
6D,MONTGOMERY VILLAGE,Cyberspace,269,269.0
6D,MONTGOMERY VILLAGE,Daycare Facility,17,17.0
6D,MONTGOMERY VILLAGE,Dock/Wharf/Freight/Modal Terminal,1,1.0
6D,MONTGOMERY VILLAGE,Doctor/Dentist/Vet Office,220,221.0
6D,MONTGOMERY VILLAGE,Farm Facility,3,5.0
6D,MONTGOMERY VILLAGE,Field/ Open Space,91,94.0
6D,MONTGOMERY VILLAGE,Gambling Facility / Casino / Race Track,1,1.0
6D,MONTGOMERY VILLAGE,Gas Station,443,456.0
6D,MONTGOMERY VILLAGE,Golf Course,5,5.0
6D,MONTGOMERY VILLAGE,Government Building,382,383.0
6D,MONTGOMERY VILLAGE,Grocery/Supermarket,889,901.0
6D,MONTGOMERY VILLAGE,Hospital/Emergency Care Center,890,934.0
6D,MONTGOMERY VILLAGE,Hotel/Motel/Etc.,860,888.0
6D,MONTGOMERY VILLAGE,Industrial Site,4,4.0
6D,MONTGOMERY VILLAGE,Jail/Prison,13,14.0
6D,MONTGOMERY VILLAGE,Lake/Waterway,18,18.0
6D,MONTGOMERY VILLAGE,Laundromat,77,79.0
6D,MONTGOMERY VILLAGE,Library,63,65.0
6D,MONTGOMERY VILLAGE,Liquor Store - Beer & Wine,191,196.0
6D,MONTGOMERY VILLAGE,Liquor Store - County,186,187.0
6D,MONTGOMERY VILLAGE,Nursery,4,4.0
6D,MONTGOMERY VILLAGE,Other/Unknown,5447,5457.0
6D,MONTGOMERY VILLAGE,Park,447,461.0
6D,MONTGOMERY VILLAGE,Parking Garage - Commercial,358,368.0
6D,MONTGOMERY VILLAGE,Parking Garage - County,10,10.0
6D,MONTGOMERY VILLAGE,Parking Garage - Metro,8,9.0
6D,MONTGOMERY VILLAGE,Parking Garage - Other,81,81.0
6D,MONTGOMERY VILLAGE,Parking Garage - Residential,753,755.0
6D,MONTGOMERY VILLAGE,Parking Lot - Church,53,53.0
6D,MONTGOMERY VILLAGE,Parking Lot - Commercial,3201,3266.0
6D,MONTGOMERY VILLAGE,Parking Lot - County,107,110.0
6D,MONTGOMERY VILLAGE,Parking Lot - Metro,16,16.0
6D,MONTGOMERY VILLAGE,Parking Lot - Other,447,451.0
6D,MONTGOMERY VILLAGE,Parking Lot - Park & Ride,141,142.0
6D,MONTGOMERY VILLAGE,Parking Lot - Rec Center,74,79.0
6D,MONTGOMERY VILLAGE,Parking Lot - Residential,6299,6425.0
6D,MONTGOMERY VILLAGE,Parking Lot - School,199,204.0
6D,MONTGOMERY VILLAGE,Pawn Shop,11,11.0
6D,MONTGOMERY VILLAGE,Pedestrian Tunnel,4,4.0
6D,MONTGOMERY VILLAGE,Pool,78,82.0
6D,MONTGOMERY VILLAGE,Recreation Center,285,287.0
6D,MONTGOMERY VILLAGE,Rental Storage Facility,112,113.0
6D,MONTGOMERY VILLAGE,Residence - Apartment/Condo,9178,9711.0
6D,MONTGOMERY VILLAGE,Residence - Apt Ofc/Storage,337,353.0
6D,MONTGOMERY VILLAGE,Residence - Carport,23,23.0
6D,MONTGOMERY VILLAGE,Residence - Driveway,1426,1434.0
6D,MONTGOMERY VILLAGE,Residence - Garage,170,171.0
6D,MONTGOMERY VILLAGE,Residence - Mobile Home,4,4.0
6D,MONTGOMERY VILLAGE,Residence - Nursing Home,233,237.0
6D,MONTGOMERY VILLAGE,Residence - Other,877,903.0
6D,MONTGOMERY VILLAGE,Residence - Shed,35,35.0
6D,MONTGOMERY VILLAGE,Residence - Single Family,4837,4974.0
6D,MONTGOMERY VILLAGE,Residence - Yard,669,713.0
6D,MONTGOMERY VILLAGE,Residence -Townhouse/Duplex,6483,6817.0
6D,MONTGOMERY VILLAGE,Rest Area,2,2.0
6D,MONTGOMERY VILLAGE,Restaurant,1202,1265.0
6D,MONTGOMERY VILLAGE,Retail - Appliances/Electronics,182,183.0
6D,MONTGOMERY VILLAGE,Retail - Beauty/Barber Shop,71,71.0
6D,MONTGOMERY VILLAGE,Retail - Clothing,439,442.0
6D,MONTGOMERY VILLAGE,Retail - Department/Discount Store,2005,2022.0
6D,MONTGOMERY VILLAGE,Retail - Drug Store/Pharmacy,421,422.0
6D,MONTGOMERY VILLAGE,Retail - Dry Cleaner,20,21.0
6D,MONTGOMERY VILLAGE,Retail - Hardware,435,436.0
6D,MONTGOMERY VILLAGE,Retail - Jewelry,28,28.0
6D,MONTGOMERY VILLAGE,Retail - Mall,953,962.0
6D,MONTGOMERY VILLAGE,Retail - Other,977,993.0
6D,MONTGOMERY VILLAGE,Retail - Salon/Spa,121,124.0
6D,MONTGOMERY VILLAGE,Retail - Sporting Goods,464,464.0
6D,MONTGOMERY VILLAGE,Retail - Video Store,5,5.0
6D,MONTGOMERY VILLAGE,School - College/University,11,11.0
6D,MONTGOMERY VILLAGE,School - Elementary/Secondary,1273,1326.0
6D,MONTGOMERY VILLAGE,School/College - DO NOT USE,946,979.0
6D,MONTGOMERY VILLAGE,Shelter-Mission/Homeless,50,50.0
6D,MONTGOMERY VILLAGE,Street - Alley,87,88.0
6D,MONTGOMERY VILLAGE,Street - Bus Stop,641,660.0
6D,MONTGOMERY VILLAGE,Street - Commercial,1148,1185.0
6D,MONTGOMERY VILLAGE,Street - In vehicle,8782,8838.0
6D,MONTGOMERY VILLAGE,Street - Other,1418,1445.0
6D,MONTGOMERY VILLAGE,Street - Residential,3975,4044.0
6D,MONTGOMERY VILLAGE,Theater,33,34.0
6D,MONTGOMERY VILLAGE,Wooded Area,114,116.0
TPPD,TAKOMA PARK,Abandoned/Condemned Structures,4,4.0
TPPD,TAKOMA PARK,Air/Bus/Train/Metro Terminal,8,8.0
TPPD,TAKOMA PARK,Amusement Park,1,1.0
TPPD,TAKOMA PARK,Atm Separate From Bank,2,2.0
TPPD,TAKOMA PARK,Auto Dealership,8,8.0
TPPD,TAKOMA PARK,Auto Repair,38,38.0
TPPD,TAKOMA PARK,Bank - ATM,90,90.0
TPPD,TAKOMA PARK,Bank/S&L/Credit Union,46,46.0
TPPD,TAKOMA PARK,Bar/Night Club,64,66.0
TPPD,TAKOMA PARK,Camp / Campground,1,1.0
TPPD,TAKOMA PARK,Check Cashing Est.,8,8.0
TPPD,TAKOMA PARK,Church/Synagogue/Temple,55,55.0
TPPD,TAKOMA PARK,Commercial - Industrial park,1,1.0
TPPD,TAKOMA PARK,Commercial - Office Building,122,123.0
TPPD,TAKOMA PARK,Community Center,6,6.0
TPPD,TAKOMA PARK,Construction Site,19,19.0
TPPD,TAKOMA PARK,Convenience Store,730,732.0
TPPD,TAKOMA PARK,Cyberspace,18,18.0
TPPD,TAKOMA PARK,Daycare Facility,4,4.0
TPPD,TAKOMA PARK,Doctor/Dentist/Vet Office,18,18.0
TPPD,TAKOMA PARK,Field/ Open Space,8,8.0
TPPD,TAKOMA PARK,Gas Station,386,388.0
TPPD,TAKOMA PARK,Government Building,137,137.0
TPPD,TAKOMA PARK,Grocery/Supermarket,218,219.0
TPPD,TAKOMA PARK,Hospital/Emergency Care Center,333,339.0
TPPD,TAKOMA PARK,Hotel/Motel/Etc.,238,242.0
TPPD,TAKOMA PARK,Jail/Prison,4,4.0
TPPD,TAKOMA PARK,Laundromat,28,28.0
TPPD,TAKOMA PARK,Library,18,18.0
TPPD,TAKOMA PARK,Liquor Store - Beer & Wine,14,14.0
TPPD,TAKOMA PARK,Liquor Store - County,1,1.0
TPPD,TAKOMA PARK,Nursery,2,2.0
TPPD,TAKOMA PARK,Other/Unknown,306,307.0
TPPD,TAKOMA PARK,Park,83,85.0
TPPD,TAKOMA PARK,Parking Garage - Commercial,24,24.0
TPPD,TAKOMA PARK,Parking Garage - County,1,1.0
TPPD,TAKOMA PARK,Parking Garage - Metro,2,2.0
TPPD,TAKOMA PARK,Parking Garage - Other,6,6.0
TPPD,TAKOMA PARK,Parking Garage - Residential,33,33.0
TPPD,TAKOMA PARK,Parking Lot - Church,15,15.0
TPPD,TAKOMA PARK,Parking Lot - Commercial,729,737.0
TPPD,TAKOMA PARK,Parking Lot - Metro,1,1.0
TPPD,TAKOMA PARK,Parking Lot - Other,158,159.0
TPPD,TAKOMA PARK,Parking Lot - Rec Center,12,12.0
TPPD,TAKOMA PARK,Parking Lot - Residential,564,570.0
TPPD,TAKOMA PARK,Parking Lot - School,41,42.0
TPPD,TAKOMA PARK,Pawn Shop,4,4.0
TPPD,TAKOMA PARK,Pool,1,1.0
TPPD,TAKOMA PARK,Recreation Center,20,21.0
TPPD,TAKOMA PARK,Rental Storage Facility,47,47.0
TPPD,TAKOMA PARK,Residence - Apartment/Condo,1152,1176.0
TPPD,TAKOMA PARK,Residence - Apt Ofc/Storage,39,39.0
TPPD,TAKOMA PARK,Residence - Carport,2,2.0
TPPD,TAKOMA PARK,Residence - Driveway,441,441.0
TPPD,TAKOMA PARK,Residence - Garage,29,29.0
TPPD,TAKOMA PARK,Residence - Mobile Home,2,2.0
TPPD,TAKOMA PARK,Residence - Nursing Home,41,42.0
TPPD,TAKOMA PARK,Residence - Other,144,144.0
TPPD,TAKOMA PARK,Residence - Shed,72,72.0
TPPD,TAKOMA PARK,Residence - Single Family,1268,1278.0
TPPD,TAKOMA PARK,Residence - Yard,207,208.0
TPPD,TAKOMA PARK,Residence -Townhouse/Duplex,54,54.0
TPPD,TAKOMA PARK,Rest Area,1,1.0
TPPD,TAKOMA PARK,Restaurant,227,232.0
TPPD,TAKOMA PARK,Retail - Appliances/Electronics,49,50.0
TPPD,TAKOMA PARK,Retail - Beauty/Barber Shop,8,8.0
TPPD,TAKOMA PARK,Retail - Clothing,18,18.0
TPPD,TAKOMA PARK,Retail - Department/Discount Store,115,115.0
TPPD,TAKOMA PARK,Retail - Drug Store/Pharmacy,777,777.0
TPPD,TAKOMA PARK,Retail - Dry Cleaner,7,7.0
TPPD,TAKOMA PARK,Retail - Hardware,50,50.0
TPPD,TAKOMA PARK,Retail - Jewelry,16,16.0
TPPD,TAKOMA PARK,Retail - Mall,3,4.0
TPPD,TAKOMA PARK,Retail - Other,142,142.0
TPPD,TAKOMA PARK,Retail - Salon/Spa,23,23.0
TPPD,TAKOMA PARK,School - College/University,20,21.0
TPPD,TAKOMA PARK,School - Elementary/Secondary,92,94.0
TPPD,TAKOMA PARK,School/College - DO NOT USE,152,155.0
TPPD,TAKOMA PARK,Shelter-Mission/Homeless,2,2.0
TPPD,TAKOMA PARK,Street - Alley,25,26.0
TPPD,TAKOMA PARK,Street - Bus Stop,78,78.0
TPPD,TAKOMA PARK,Street - Commercial,279,282.0
TPPD,TAKOMA PARK,Street - In vehicle,683,686.0
TPPD,TAKOMA PARK,Street - Other,376,383.0
TPPD,TAKOMA PARK,Street - Residential,1565,1569.0
TPPD,TAKOMA PARK,Theater,1,1.0
TPPD,TAKOMA PARK,Wooded Area,15,15.0
Unkn,<NA>,Air/Bus/Train/Metro Terminal,2,2.0
Unkn,<NA>,Auto Dealership,3,3.0
Unkn,<NA>,Auto Repair,1,1.0
Unkn,<NA>,Bank - ATM,6,6.0
Unkn,<NA>,Bank/S&L/Credit Union,2,2.0
Unkn,<NA>,Bar/Night Club,8,10.0
Unkn,<NA>,Church/Synagogue/Temple,2,2.0
Unkn,<NA>,Commercial - Industrial park,3,3.0
Unkn,<NA>,Commercial - Office Building,15,15.0
Unkn,<NA>,Community Center,2,2.0
Unkn,<NA>,Construction Site,4,4.0
Unkn,<NA>,Convenience Store,19,19.0
Unkn,<NA>,Cyberspace,4,4.0
Unkn,<NA>,Doctor/Dentist/Vet Office,2,2.0
Unkn,<NA>,Field/ Open Space,1,1.0
Unkn,<NA>,Gas Station,11,11.0
Unkn,<NA>,Government Building,8,8.0
Unkn,<NA>,Grocery/Supermarket,24,24.0
Unkn,<NA>,Hospital/Emergency Care Center,12,12.0
Unkn,<NA>,Hotel/Motel/Etc.,9,9.0
Unkn,<NA>,Industrial Site,1,1.0
Unkn,<NA>,Laundromat,4,4.0
Unkn,<NA>,Library,2,2.0
Unkn,<NA>,Liquor Store - Beer & Wine,2,2.0
Unkn,<NA>,Liquor Store - County,2,2.0
Unkn,<NA>,Other/Unknown,88,88.0
Unkn,<NA>,Park,7,7.0
Unkn,<NA>,Parking Garage - Commercial,9,9.0
Unkn,<NA>,Parking Garage - County,4,4.0
Unkn,<NA>,Parking Garage - Metro,2,2.0
Unkn,<NA>,Parking Garage - Other,4,6.0
Unkn,<NA>,Parking Garage - Residential,17,17.0
Unkn,<NA>,Parking Lot - Commercial,38,40.0
Unkn,<NA>,Parking Lot - County,2,2.0
Unkn,<NA>,Parking Lot - Other,7,7.0
Unkn,<NA>,Parking Lot - Park & Ride,1,1.0
Unkn,<NA>,Parking Lot - Rec Center,1,1.0
Unkn,<NA>,Parking Lot - Residential,77,77.0
Unkn,<NA>,Parking Lot - School,4,4.0
Unkn,<NA>,Pawn Shop,1,1.0
Unkn,<NA>,Recreation Center,3,3.0
Unkn,<NA>,Rental Storage Facility,3,3.0
Unkn,<NA>,Residence - Apartment/Condo,146,154.0
Unkn,<NA>,Residence - Apt Ofc/Storage,5,5.0
Unkn,<NA>,Residence - Carport,1,1.0
Unkn,<NA>,Residence - Driveway,33,33.0
Unkn,<NA>,Residence - Garage,3,3.0
Unkn,<NA>,Residence - Nursing Home,5,5.0
Unkn,<NA>,Residence - Other,16,16.0
Unkn,<NA>,Residence - Shed,1,1.0
Unkn,<NA>,Residence - Single Family,132,132.0
Unkn,<NA>,Residence - Yard,12,14.0
Unkn,<NA>,Residence -Townhouse/Duplex,60,63.0
Unkn,<NA>,Restaurant,21,21.0
Unkn,<NA>,Retail - Appliances/Electronics,2,2.0
Unkn,<NA>,Retail - Beauty/Barber Shop,16,16.0
Unkn,<NA>,Retail - Clothing,21,21.0
Unkn,<NA>,Retail - Department/Discount Store,49,49.0
Unkn,<NA>,Retail - Drug Store/Pharmacy,12,12.0
Unkn,<NA>,Retail - Dry Cleaner,1,1.0
Unkn,<NA>,Retail - Hardware,1,1.0
Unkn,<NA>,Retail - Jewelry,1,1.0
Unkn,<NA>,Retail - Mall,12,12.0
Unkn,<NA>,Retail - Other,28,29.0
Unkn,<NA>,Retail - Salon/Spa,3,3.0
Unkn,<NA>,Retail - Sporting Goods,3,3.0
Unkn,<NA>,School - College/University,1,1.0
Unkn,<NA>,School - Elementary/Secondary,29,30.0
Unkn,<NA>,School/College - DO NOT USE,3,3.0
Unkn,<NA>,Shelter-Mission/Homeless,3,3.0
Unkn,<NA>,Street - Alley,4,4.0
Unkn,<NA>,Street - Bus Stop,7,7.0
Unkn,<NA>,Street - Commercial,25,25.0
Unkn,<NA>,Street - In vehicle,86,87.0
Unkn,<NA>,Street - Other,29,30.0
Unkn,<NA>,Street - Residential,101,102.0
Unkn,<NA>,Wooded Area,1,1.0
